Comment,Designator,Footprint,LCSC Part #
"US1M","D1","DO214AC","C112545"
"US1M","D2","DO214AC","C112545"
"US1M","D3","DO214AC","C112545"
"US1M","D4","DO214AC","C112545"
"SMAJ33A","D5","DO214AC","C143131"
"SMAJ33A","D6","DO214AC","C143131"
"SMAJ33A","D7","DO214AC","C143131"
"SMAJ33A","D8","DO214AC","C143131"
"TE_776231-1","J1","TE_776231",""
"USB_B_Mini","J8","USB-MINI-B-VERTICAL","C13453"
"Module:mega-mcu100/0.3","M1","mega-mcu100",""
"Module:power_12and5V/0.3","M2","power_12and5V",""
"Module:vr-max9924/0.3","M3","vr-max9924",""
"VND14NV04-E","Q1","DPAK",""
"VND14NV04-E","Q2","DPAK",""
"VND14NV04-E","Q3","DPAK",""
"VND14NV04-E","Q4","DPAK",""
"12","R1","R0603",""
"12","R2","R0603",""
"12","R3","R0603",""
"12","R4","R0603",""
"12","R8","R0603","C22783"
"12","R9","R0603","C22783"
"12","R10","R0603","C22783"
"12","R11","R0603","C22783"
